# M = 2.000, Z =  0.014, Y =  0.280, Set 0																													
# Surface normalized number abundances																													
Isotope	A	Z	N	Initial	TP #1	TP #2	TP #3	TP #4	TP #5	TP #6	TP #7	TP #8	TP #9	TP #10	TP #11	TP #12	TP #13	TP #14	TP #15	TP #16	TP #17	TP #18	TP #19	TP #20	TP #21	TP #22	TP #23	TP #24	Final
p	1	1	0	7.06E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.95E-01	6.96E-01	6.96E-01	6.96E-01	6.96E-01	6.96E-01	6.96E-01	6.96E-01	6.96E-01	6.95E-01	6.94E-01	6.92E-01	6.91E-01	6.89E-01	6.86E-01	6.84E-01
d	2	1	1	0.00E+00	2.62E-18	2.62E-18	2.62E-18	2.62E-18	2.63E-18	2.63E-18	2.60E-18	2.58E-18	2.58E-18	2.56E-18	2.49E-18	2.43E-18	2.42E-18	2.40E-18	2.38E-18	2.36E-18	2.35E-18	2.33E-18	2.32E-18	2.31E-18	2.30E-18	2.37E-18	2.43E-18	2.57E-18	2.56E-18
he3	3	2	1	0.00E+00	8.04E-05	8.04E-05	8.02E-05	8.02E-05	8.02E-05	8.02E-05	7.94E-05	7.86E-05	7.86E-05	7.78E-05	7.58E-05	7.38E-05	7.35E-05	7.28E-05	7.21E-05	7.15E-05	7.10E-05	7.04E-05	7.00E-05	6.96E-05	6.93E-05	6.89E-05	6.87E-05	6.84E-05	6.81E-05
he4	4	2	2	7.00E-02	7.26E-02	7.26E-02	7.26E-02	7.26E-02	7.26E-02	7.26E-02	7.26E-02	7.25E-02	7.25E-02	7.25E-02	7.24E-02	7.24E-02	7.24E-02	7.24E-02	7.23E-02	7.23E-02	7.23E-02	7.24E-02	7.25E-02	7.27E-02	7.29E-02	7.32E-02	7.35E-02	7.39E-02	7.43E-02
li7	7	3	4	1.30E-09	3.30E-10	3.30E-10	3.31E-10	3.30E-10	3.29E-10	3.28E-10	3.37E-10	3.46E-10	3.45E-10	3.55E-10	3.78E-10	4.01E-10	4.04E-10	4.12E-10	4.20E-10	4.27E-10	4.32E-10	4.38E-10	4.41E-10	4.43E-10	4.45E-10	4.46E-10	4.45E-10	4.45E-10	4.45E-10
be7	7	4	3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.51E-23
b8	8	5	3	0.00E+00	6.82E-32	6.82E-32	7.01E-32	7.31E-32	9.53E-32	1.55E-31	2.86E-31	4.60E-31	6.24E-31	8.24E-31	1.15E-30	1.51E-30	1.96E-30	2.80E-30	4.16E-30	5.94E-30	1.04E-29	1.37E-29	2.06E-29	2.42E-29	3.28E-29	3.60E-29	4.15E-29	3.87E-29	7.01E-29
c12	12	6	6	2.09E-04	1.28E-04	1.28E-04	1.29E-04	1.29E-04	1.29E-04	1.29E-04	1.29E-04	1.30E-04	1.30E-04	1.31E-04	1.33E-04	1.35E-04	1.35E-04	1.36E-04	1.37E-04	1.37E-04	1.38E-04	1.49E-04	1.69E-04	1.99E-04	2.35E-04	2.79E-04	3.32E-04	3.89E-04	4.42E-04
c13	13	6	7	2.34E-06	6.33E-06	6.33E-06	6.32E-06	6.32E-06	6.32E-06	6.32E-06	6.28E-06	6.24E-06	6.25E-06	6.21E-06	6.11E-06	6.01E-06	6.00E-06	5.96E-06	5.93E-06	5.90E-06	5.87E-06	5.85E-06	5.82E-06	5.80E-06	5.78E-06	5.76E-06	5.74E-06	5.72E-06	5.71E-06
c14	14	6	8	0.00E+00	0.00E+00	1.41E-34	1.49E-34	4.15E-35	1.39E-35	2.59E-34	5.26E-36	4.71E-36	6.61E-36	1.15E-35	2.28E-35	4.43E-35	7.17E-35	1.92E-34	1.04E-33	1.55E-32	3.84E-17	1.70E-13	3.62E-13	5.27E-13	7.28E-13	8.47E-13	1.04E-12	1.39E-12	1.58E-12
n13	13	7	6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
n14	14	7	7	5.29E-05	1.30E-04	1.30E-04	1.30E-04	1.30E-04	1.30E-04	1.29E-04	1.29E-04	1.28E-04	1.28E-04	1.27E-04	1.25E-04	1.23E-04	1.23E-04	1.23E-04	1.22E-04	1.21E-04	1.21E-04	1.21E-04	1.20E-04	1.20E-04	1.20E-04	1.20E-04	1.19E-04	1.19E-04	1.19E-04
n15	15	7	8	1.22E-07	5.97E-08	5.97E-08	5.98E-08	5.98E-08	5.98E-08	5.98E-08	6.04E-08	6.10E-08	6.10E-08	6.16E-08	6.32E-08	6.47E-08	6.49E-08	6.54E-08	6.59E-08	6.64E-08	6.67E-08	6.72E-08	6.76E-08	6.78E-08	6.80E-08	6.80E-08	6.80E-08	6.79E-08	6.78E-08
o14	14	8	6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
o15	15	8	7	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
o16	16	8	8	3.78E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.77E-04	3.78E-04	3.78E-04	3.79E-04	3.80E-04	3.81E-04	3.82E-04	3.82E-04
o17	17	8	9	1.44E-07	1.43E-06	1.43E-06	1.42E-06	1.42E-06	1.42E-06	1.42E-06	1.41E-06	1.40E-06	1.40E-06	1.39E-06	1.35E-06	1.32E-06	1.32E-06	1.31E-06	1.30E-06	1.29E-06	1.28E-06	1.27E-06	1.26E-06	1.26E-06	1.25E-06	1.25E-06	1.24E-06	1.24E-06	1.23E-06
o18	18	8	10	7.56E-07	5.30E-07	5.30E-07	5.30E-07	5.30E-07	5.30E-07	5.30E-07	5.32E-07	5.35E-07	5.35E-07	5.37E-07	5.42E-07	5.48E-07	5.49E-07	5.50E-07	5.52E-07	5.54E-07	5.55E-07	5.56E-07	5.57E-07	5.57E-07	5.56E-07	5.55E-07	5.54E-07	5.52E-07	5.50E-07
o19	19	8	11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
f17	17	9	8	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
f18	18	9	9	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
f19	19	9	10	2.06E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.04E-08	2.12E-08	2.32E-08	2.62E-08	2.99E-08	3.47E-08	4.06E-08	4.77E-08	5.52E-08
f20	20	9	11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ne19	19	10	9	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ne20	20	10	10	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.21E-05	6.20E-05	6.20E-05	6.20E-05	6.20E-05	6.20E-05	6.20E-05	6.20E-05	6.21E-05
ne21	21	10	11	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.49E-07	1.50E-07	1.50E-07	1.51E-07	1.52E-07	1.54E-07	1.55E-07
ne22	22	10	12	4.56E-06	4.26E-06	4.26E-06	4.26E-06	4.26E-06	4.26E-06	4.26E-06	4.26E-06	4.26E-06	4.26E-06	4.27E-06	4.27E-06	4.28E-06	4.28E-06	4.29E-06	4.29E-06	4.29E-06	4.31E-06	4.87E-06	6.35E-06	8.91E-06	1.25E-05	1.72E-05	2.29E-05	2.95E-05	3.59E-05
ne23	23	10	13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
na21	21	11	10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
na22	22	11	11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.76E-28
na23	23	11	12	1.46E-06	1.77E-06	1.77E-06	1.77E-06	1.77E-06	1.77E-06	1.77E-06	1.76E-06	1.76E-06	1.76E-06	1.76E-06	1.75E-06	1.74E-06	1.74E-06	1.74E-06	1.74E-06	1.73E-06	1.73E-06	1.74E-06	1.75E-06	1.78E-06	1.82E-06	1.88E-06	1.96E-06	2.06E-06	2.16E-06
