# M = 2.000, Z =  0.014, Y =  0.280, Set 2																													
# Surface normalized number abundances																													
Isotope	A	Z	N	Initial	TP #1	TP #2	TP #3	TP #4	TP #5	TP #6	TP #7	TP #8	TP #9	TP #10	TP #11	TP #12	TP #13	TP #14	TP #15	TP #16	TP #17	TP #18	TP #19	TP #20	TP #21	TP #22	TP #23	TP #24	Final
na22	22	11	11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.76E-28
na23	23	11	12	1.46E-06	1.77E-06	1.77E-06	1.77E-06	1.77E-06	1.77E-06	1.77E-06	1.76E-06	1.76E-06	1.76E-06	1.76E-06	1.75E-06	1.74E-06	1.74E-06	1.74E-06	1.74E-06	1.73E-06	1.73E-06	1.74E-06	1.75E-06	1.78E-06	1.82E-06	1.88E-06	1.96E-06	2.06E-06	2.16E-06
na24	24	11	13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
mg23	23	12	11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
mg24	24	12	12	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.47E-05	2.48E-05
mg25	25	12	13	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.13E-06	3.14E-06	3.16E-06
mg26	26	12	14	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.44E-06	3.43E-06	3.43E-06	3.43E-06	3.43E-06	3.43E-06	3.43E-06	3.43E-06
mg27	27	12	15	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
al25	25	13	12	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
al-6	26	13	13	0.00E+00	6.50E-18	8.25E-18	1.99E-17	1.82E-17	1.64E-17	1.89E-17	2.09E-17	3.16E-17	4.07E-16	2.83E-14	4.03E-12	1.13E-11	1.62E-11	3.34E-11	8.15E-11	1.84E-10	6.86E-10	1.24E-09	1.84E-09	2.53E-09	3.30E-09	4.12E-09	4.90E-09	5.64E-09	6.36E-09
al*6	26	13	13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
al27	27	13	14	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.11E-06	2.12E-06	2.12E-06	2.13E-06	2.13E-06	2.14E-06	2.16E-06	2.17E-06	2.18E-06
al28	28	13	15	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
si27	27	14	13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
si28	28	14	14	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05	2.34E-05
si29	29	14	15	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06	1.19E-06
si30	30	14	16	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.84E-07	7.85E-07	7.85E-07	7.86E-07	7.87E-07	7.88E-07
p31	31	15	16	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.11E-07	2.12E-07	2.13E-07	2.14E-07	2.15E-07	2.17E-07	2.20E-07	2.22E-07
p32	32	15	17	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
p33	33	15	18	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
s32	32	16	16	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.82E-06	9.81E-06	9.81E-06	9.81E-06	9.81E-06	9.81E-06	9.81E-06
s33	33	16	17	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.86E-08	7.87E-08	7.88E-08	7.89E-08	7.90E-08	7.92E-08	7.95E-08	7.98E-08
s34	34	16	18	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07	4.44E-07
s35	35	16	19	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
s36	36	16	20	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.07E-09	2.08E-09	2.11E-09	2.14E-09	2.17E-09	2.22E-09	2.27E-09	2.33E-09
cl35	35	17	18	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.21E-08	9.20E-08	9.20E-08	9.20E-08	9.20E-08	9.19E-08	9.19E-08	9.18E-08
cl36	36	17	19	0.00E+00	5.52E-33	5.83E-33	2.91E-30	3.16E-30	2.50E-30	1.86E-30	1.35E-30	1.05E-30	1.01E-30	1.37E-30	1.15E-28	4.35E-28	3.34E-28	3.98E-28	3.58E-27	1.58E-25	4.99E-14	1.79E-12	4.09E-12	7.30E-12	1.14E-11	1.63E-11	2.28E-11	3.04E-11	3.73E-11
cl37	37	17	20	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.94E-08	2.95E-08	2.95E-08	2.97E-08	2.99E-08	3.01E-08	3.04E-08	3.07E-08	3.11E-08
ar36	36	18	18	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.67E-06	1.66E-06	1.66E-06
ar37	37	18	19	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ar38	38	18	20	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.03E-07	3.04E-07	3.04E-07	3.04E-07	3.05E-07	3.05E-07
ar39	39	18	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.34E-22
ar40	40	18	22	4.69E-10	5.73E-10	5.73E-10	5.72E-10	5.72E-10	5.72E-10	5.72E-10	5.71E-10	5.71E-10	5.71E-10	5.70E-10	5.67E-10	5.65E-10	5.65E-10	5.64E-10	5.63E-10	5.62E-10	5.62E-10	5.65E-10	5.75E-10	5.93E-10	6.20E-10	6.54E-10	6.96E-10	7.44E-10	7.90E-10
k39	39	19	20	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.01E-08	8.02E-08	8.02E-08	8.02E-08	8.03E-08
k40	40	19	21	1.60E-10	2.44E-11	2.44E-11	2.45E-11	2.45E-11	2.45E-11	2.45E-11	2.51E-11	2.57E-11	2.57E-11	2.62E-11	2.77E-11	2.91E-11	2.93E-11	2.98E-11	3.03E-11	3.08E-11	3.12E-11	3.44E-11	4.00E-11	4.90E-11	6.13E-11	7.69E-11	9.69E-11	1.20E-10	1.43E-10
k41	41	19	22	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.78E-09	5.79E-09	5.81E-09	5.83E-09	5.87E-09	5.91E-09	5.96E-09	6.02E-09	6.09E-09
ca40	40	20	20	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06	1.35E-06
ca41	41	20	21	0.00E+00	8.71E-36	1.43E-33	3.74E-30	2.71E-30	1.26E-30	5.76E-31	2.90E-31	3.36E-31	8.38E-31	3.96E-30	6.85E-26	2.40E-25	1.26E-25	3.11E-25	3.07E-24	4.32E-23	1.34E-13	3.68E-12	7.90E-12	1.40E-11	2.16E-11	3.05E-11	4.19E-11	5.41E-11	6.25E-11
ca42	42	20	22	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.02E-09	9.03E-09	9.03E-09	9.04E-09	9.06E-09	9.08E-09	9.11E-09	9.14E-09	9.18E-09	9.22E-09
ca43	43	20	23	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.88E-09	1.89E-09	1.89E-09	1.89E-09	1.90E-09	1.90E-09	1.91E-09	1.92E-09
ca44	44	20	24	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.91E-08	2.92E-08	2.92E-08	2.92E-08	2.93E-08	2.93E-08
ca45	45	20	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
